,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_001E,B01001_002E,B01001_005E,B01001_006E,B01001_007E,B01001_026E,B01001_029E,B01001_030E,B01001_031E,state,zip code tabulation area
1658,ZCTA5 10598,20785,99,0,0,18,29,40,158,10,19,136,87,105,134,252,3857,402,899,2053,1456,5516,4275,761,479,29320,14392,1124,554,240,14928,685,639,152,36,10598
1659,ZCTA5 10705,26224,963,19,55,41,193,192,284,601,198,469,751,558,603,1153,5778,977,1317,3023,2238,3776,2257,366,316,39944,19628,1689,1061,731,20316,1145,689,563,36,10705
1660,ZCTA5 10709,6504,27,0,0,0,0,12,25,28,0,16,75,67,24,46,890,111,281,633,442,1750,1548,438,91,9603,4468,290,351,110,5135,449,180,62,36,10709
1661,ZCTA5 10931,615,5,0,0,0,0,0,0,25,13,6,0,10,6,14,175,32,21,85,57,101,42,11,10,938,431,26,18,12,507,30,31,6,36,10931
1662,ZCTA5 10963,3389,98,0,0,0,0,15,15,0,0,23,14,136,105,49,829,444,474,401,268,336,158,8,16,4487,2839,62,101,22,1648,271,84,46,36,10963
1663,ZCTA5 10970,6755,119,0,0,24,0,0,0,148,7,51,21,38,97,278,1116,295,348,715,903,1459,838,209,89,10082,4666,437,60,45,5416,474,271,38,36,10970
1664,ZCTA5 10985,162,0,0,0,0,0,0,0,0,0,0,0,0,0,11,62,0,0,40,31,9,9,0,0,162,48,0,0,0,114,0,0,0,36,10985
1665,ZCTA5 10990,14355,90,0,1,4,0,2,2,0,0,86,59,170,110,166,2843,601,703,1643,1490,3730,2045,397,213,20307,9672,714,344,405,10635,655,438,156,36,10990
1666,ZCTA5 10588,2317,19,0,0,0,0,0,16,21,112,81,61,71,19,12,332,13,25,382,70,660,300,123,0,3087,1426,87,41,34,1661,39,78,0,36,10588
1667,ZCTA5 10703,14942,299,0,46,0,18,62,66,128,51,255,226,247,466,755,3080,525,932,1560,1281,2761,1470,338,207,22148,10210,629,553,329,11938,757,347,390,36,10703
1668,ZCTA5 10708,14893,84,0,0,40,0,10,46,84,30,27,15,121,67,248,1849,152,460,1285,966,4364,3300,1494,251,21769,9793,494,293,446,11976,545,336,748,36,10708
1669,ZCTA5 10923,5742,90,14,0,0,5,8,9,71,8,82,67,56,128,79,1397,192,519,839,710,944,360,79,48,8627,4203,237,127,67,4424,409,22,69,36,10923
1670,ZCTA5 10926,2372,66,0,0,0,0,0,0,0,12,12,12,11,19,52,505,85,137,279,323,538,246,50,25,3592,1882,104,124,22,1710,98,81,21,36,10926
